concept,prefl,litf
http://vocab.getty.edu/aat/300264092,http://vocab.getty.edu/aat/term/1000512597-nl,Facet Objecten
http://vocab.getty.edu/aat/300264550,http://vocab.getty.edu/aat/term/1000512898-nl,Bebouwde omgeving
http://vocab.getty.edu/aat/300241490,http://vocab.getty.edu/aat/term/1000643327-nl,Onderdelen
http://vocab.getty.edu/aat/300264551,http://vocab.getty.edu/aat/term/1000612240-nl,Gebruiksartikelen en Uitrusting
http://vocab.getty.edu/aat/300185711,http://vocab.getty.edu/aat/term/1000643205-nl,Objectgenres
http://vocab.getty.edu/aat/300241489,http://vocab.getty.edu/aat/term/1000643326-nl,Objectgroepen en systemen
http://vocab.getty.edu/aat/300264552,http://vocab.getty.edu/aat/term/1000512900-nl,Visuele en verbale communicatie
http://vocab.getty.edu/aat/300008346,http://vocab.getty.edu/aat/term/1000642924-nl,Nederzettingen en landschappen
http://vocab.getty.edu/aat/300000201,http://vocab.getty.edu/aat/term/1000642802-nl,Gebouwde complexen en gebieden
http://vocab.getty.edu/aat/300004789,http://vocab.getty.edu/aat/term/1000465944-nl,Bouwwerken (hiërarchie)
http://vocab.getty.edu/aat/300139081,http://vocab.getty.edu/aat/term/1000643152-nl,Open ruimten en landschappelijke elementen
http://vocab.getty.edu/aat/300241583,http://vocab.getty.edu/aat/term/1000507903-nl,onderdelen
http://vocab.getty.edu/aat/300037335,http://vocab.getty.edu/aat/term/1000643046-nl,Interieurinrichting
http://vocab.getty.edu/aat/300209261,http://vocab.getty.edu/aat/term/1000643265-nl,Kostuum
http://vocab.getty.edu/aat/300022238,http://vocab.getty.edu/aat/term/1000642968-nl,Gereedschap en Uitrusting
http://vocab.getty.edu/aat/300036743,http://vocab.getty.edu/aat/term/1000643042-nl,Wapens en Munitie
http://vocab.getty.edu/aat/300207851,http://vocab.getty.edu/aat/term/1000643264-nl,Meetinstrumenten
http://vocab.getty.edu/aat/300045611,http://vocab.getty.edu/aat/term/1000643076-nl,Houders
http://vocab.getty.edu/aat/300041619,http://vocab.getty.edu/aat/term/1000643066-nl,Geluidsmiddelen
http://vocab.getty.edu/aat/300136012,http://vocab.getty.edu/aat/term/1000643147-nl,Ontspanningsmiddelen
http://vocab.getty.edu/aat/300042929,http://vocab.getty.edu/aat/term/1000643069-nl,Vervoermiddelen
http://vocab.getty.edu/aat/300311889,http://vocab.getty.edu/aat/term/1000608812-nl,objecten
http://vocab.getty.edu/aat/300185712,http://vocab.getty.edu/aat/term/1000496331-nl,objectgenres
http://vocab.getty.edu/aat/300241507,http://vocab.getty.edu/aat/term/1000507889-nl,objectgroepen
http://vocab.getty.edu/aat/300008550,http://vocab.getty.edu/aat/term/1000469007-nl,systemen
http://vocab.getty.edu/aat/300179869,http://vocab.getty.edu/aat/term/1000643198-nl,Beeldmateriaal
